2024-03-09 03:37:42,783 - TeaMonitor Computer Network Activity -INFO - Соединение 77: Имя процесса: SearchHost.exe, PID: 7172, Протокол: 192.168.1.168, Порт: 56801, Тип соединения: TCP
2024-03-09 03:37:42,787 - TeaMonitor Computer Network Activity -INFO - Соединение 78: Имя процесса: svchost.exe, PID: 4820, Протокол: 192.168.1.168, Порт: 64989, Тип соединения: TCP
2024-03-09 03:37:42,792 - TeaMonitor Computer Network Activity -INFO - Соединение 80: Имя процесса: svchost.exe, PID: 2496, Протокол: 0.0.0.0, Порт: 65431, Тип соединения: UDP
2024-03-09 03:37:42,797 - TeaMonitor Computer Network Activity -INFO - Соединение 81: Имя процесса: svchost.exe, PID: 2496, Протокол: 0.0.0.0, Порт: 5355, Тип соединения: UDP
2024-03-09 03:37:42,802 - TeaMonitor Computer Network Activity -INFO - Соединение 82: Имя процесса: svchost.exe, PID: 13696, Протокол: ::1, Порт: 1900, Тип соединения: UDP
2024-03-09 03:37:42,802 - TeaMonitor Computer Network Activity -INFO - Соединение 84: Имя процесса: steamwebhelper.exe, PID: 2432, Протокол: 127.0.0.1, Порт: 61362, Тип соединения: TCP
2024-03-09 03:37:42,807 - TeaMonitor Computer Network Activity -INFO - Соединение 85: Имя процесса: svchost.exe, PID: 4364, Протокол: 0.0.0.0, Порт: 4500, Тип соединения: UDP
2024-03-09 03:37:42,807 - TeaMonitor Computer Network Activity -INFO - Соединение 86: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54551, Тип соединения: TCP
2024-03-09 03:37:42,811 - TeaMonitor Computer Network Activity -INFO - Соединение 87: Имя процесса: svchost.exe, PID: 7716, Протокол: 0.0.0.0, Порт: 5040, Тип соединения: TCP
2024-03-09 03:37:42,812 - TeaMonitor Computer Network Activity -INFO - Соединение 88: Имя процесса: Discord.exe, PID: 13708, Протокол: 192.168.1.168, Порт: 65026, Тип соединения: TCP
2024-03-09 03:37:42,812 - TeaMonitor Computer Network Activity -INFO - Соединение 89: Имя процесса: java.exe, PID: 15964, Протокол: 127.0.0.1, Порт: 55590, Тип соединения: TCP
2024-03-09 03:37:42,816 - TeaMonitor Computer Network Activity -INFO - Соединение 90: Имя процесса: svchost.exe, PID: 2496, Протокол: 0.0.0.0, Порт: 5353, Тип соединения: UDP
2024-03-09 03:37:42,816 - TeaMonitor Computer Network Activity -INFO - Соединение 91: Имя процесса: browser.exe, PID: 16140, Протокол: 192.168.1.168, Порт: 52435, Тип соединения: TCP
2024-03-09 03:37:42,816 - TeaMonitor Computer Network Activity -INFO - Соединение 92: Имя процесса: steam.exe, PID: 8548, Протокол: 127.0.0.1, Порт: 60682, Тип соединения: TCP
2024-03-09 03:37:42,821 - TeaMonitor Computer Network Activity -INFO - Соединение 93: Имя процесса: services.exe, PID: 1252, Протокол: ::, Порт: 49669, Тип соединения: TCP
2024-03-09 03:37:42,825 - TeaMonitor Computer Network Activity -INFO - Соединение 94: Имя процесса: svchost.exe, PID: 14332, Протокол: ::, Порт: 123, Тип соединения: UDP
